Australian GP,Bahrain GP,Spanish GP,Hungarian GP,Brazilian GP,Singapore GP,Monaco GP,Italian GP,Chinese GP,British GP,Belgian GP,Abu Dhabi GP,Malaysian GP
3,2,2,1,7,0,2,2,0,3,4,0,2
2,13,3,5,5,3,1,7,1,1,3,0,5
1,4,9,1,3,1,12,12,6,16,0,0,7
0,3,14,0,4,0,5,0,2,2,1,2,6
3,0,2,4,0,5,6,4,1,4,0,1,8
2,8,8,1,0,0,5,1,3,8,3,0,3
3,5,12,1,9,5,4,9,3,4,0,7,3
5,1,1,3,2,1,2,1,1,1,1,1,1
0,1,2,6,2,0,3,1,1,1,1,2,2
1,3,0,1,1,3,1,2,7,1,3,1,0
2,2,1,4,4,1,7,1,1,1,1,2,2
2,3,1,1,1,1,3,1,4,2,2,1,0
2,1,1,1,7,4,1,3,1,1,2,1,0
4,1,1,1,0,0,0,7,0,1,1,3,0
