Date,Rank
2007,3
2007.075,2
2007.15,2
2007.225,2
2007.3,2
2007.375,1
2007.45,1
2007.525,3
2007.6,3
2007.675,9
2007.75,1
2007.825,5
2007.9,2
2007.925,4
2007.95,1
2007.99,7
2008,1
2008.05,5
2008.1,13
2008.15,3
2008.2,2
2008.25,1
2008.3,10
2008.35,1
2008.4,1
2008.45,5
2008.5,2
2008.55,3
2008.6,7
2008.65,3
2008.7,12
2008.75,1
2008.8,5
2009,7
2009.05,6
2009.1,4
2009.15,9
2009.2,12
2009.25,13
2009.3,16
2009.35,18
2009.4,1
2009.45,2
2009.5,12
2009.55,1
2009.6,3
2009.65,3
2010,3
2010.05,6
2010.1,6
2010.15,2
2010.2,14
2010.25,5
2010.3,1
2010.35,1
2010.4,2
2010.45,2
2010.5,4
2010.55,1
2010.6,5
2010.65,2
2010.7,4
2010.75,2
2011,2
2011.05,8
2011.1,1
2011.15,4
2011.2,2
2011.25,6
2011.3,4
2011.35,4
2011.4,1
2011.45,4
2011.5,4
2011.55,5
2011.6,5
2011.65,2
2011.7,7
2011.75,1
2012,3
2012.05,3
2012.1,8
2012.15,8
2012.2,5
2012.25,1
2012.3,19
2012.35,8
2012.4,1
2012.45,1
2012.5,5
2012.55,10
2012.6,4
2012.65,1
2013,5
2013.05,3
2013.1,3
2013.15,5
2013.2,12
2013.25,4
2013.3,3
2013.35,4
2013.4,5
2013.45,1
2013.5,3
2013.55,9
2013.6,5
2013.65,5
2013.7,6
2013.75,7
2013.8,4
2013.85,9
2014,1
2014.05,1
2014.1,1
2014.15,1
2014.2,2
2014.25,2
2014.3,1
2014.35,3
2014.4,3
2014.45,1
2014.5,1
2014.55,1
2014.6,1
2014.65,1
2014.7,2
2014.75,1
2015,1
2015.05,2
2015.1,1
2015.15,1
2015.2,2
2015.25,3
2015.3,1
2015.35,2
2015.4,1
2015.45,6
2015.5,1
2015.55,1
2015.6,1
2015.65,1
2015.7,1
2015.75,2
2015.8,2
2015.85,2
2016,2
2016.05,3
2016.1,7
2016.15,2
2016.2,1
2016.25,1
2016.3,5
2016.35,1
2016.4,1
2016.45,1
2016.5,1
2016.55,3
2016.6,2
2016.65,3
2016.7,3
2016.75,1
2016.8,1
2016.85,1
2016.9,1
2017,2
2017.05,1
2017.1,2
2017.15,4
2017.2,1
2017.25,7
2017.3,1
2017.35,5
2017.4,4
2017.45,1
2017.5,4
2017.55,1
2017.6,1
2017.65,1
2017.7,2
2017.75,1
2017.8,1
2017.85,9
2017.9,4
2017.95,2
2018,2
2018.05,3
2018.1,4
2018.15,1
2018.2,1
2018.25,3
2018.3,5
2018.35,1
2018.4,2
2018.45,1
2018.5,1
2018.55,2
2018.6,1
2018.65,1
2018.7,1
2018.75,1
2018.8,3
2018.85,4
2018.9,1
2018.95,1
2019,2
2019.05,1
2019.1,1
2019.15,2
2019.2,1
2019.25,1
2019.3,1
2019.35,1
2019.4,5
2019.45,1
2019.5,9
2019.55,1
2019.6,2
2019.65,3
2019.7,4
2019.75,1
2019.8,3
2019.85,1
2019.9,2
2019.95,7
2019.99,1
2020,4
2020.05,1
2020.1,1
2020.15,1
2020.2,2
2020.25,1
2020.3,1
2020.35,7
2020.4,1
2020.45,3
2020.5,1
2020.55,1
2020.6,1
2020.65,1
2020.7,1
2020.75,3
